title,url,price_omr,bedrooms,bathrooms,size_sqm,locality,listing_date,agency
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%AE%D9%85%D8%B3-%D8%A7%D8%B1%D8%A7%D8%B6%D9%8A-%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84-%D9%85%D9%86%D9%87%D9%86-16800-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D9%81%D9%8A-%D9%88%D9%84%D8%A7%D9%8A%D8%A9-%D8%A8%D8%B1%D9%83%D8%A7%D8%A1-ID129792393.html,350000.0,,,,"Barka, Al Batinah",1 day ago,
أرض للبيع او الاستثمار بناية سكنيه تجارية,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%88-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%A8%D9%86%D8%A7%D9%8A%D8%A9-%D8%B3%D9%83%D9%86%D9%8A%D9%87-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9-ID129792295.html,250000.0,,,547.0,"Al Buraimi, Al Buraimi",1 day ago,
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B3%D9%83%D9%86%D9%8A-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D9%81%D9%8A-%D8%BA%D9%84%D8%A7%D8%A1-land-for-sale-in-ghala-ID129789432.html,500.0,,,,"Ghala, Muscat",1 day ago,
فيلا راقيه للبيع في الخوض السادسه,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AE%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D9%87-ID130303578.html,285000.0,9.0,10.0,614.0,"Al Khoud, Muscat",1 day ago,
محلات للايجار في العامرات,https://www.dubizzle.com.om/en/ad/%D9%85%D8%AD%D9%84%D8%A7%D8%AA-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%B1%D8%A7%D8%AA-ID129884717.html,280.0,,,48.0,"Al Amarat, Muscat",1 day ago,
الأرض للبيع مساحه ٢١٠٨ م,https://www.dubizzle.com.om/en/ad/%D8%A7%D9%84%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D8%B3%D8%A7%D8%AD%D9%87-%D9%A2%D9%A1%D9%A0%D9%A8-%D9%85-ID130483952.html,50000.0,,,,"Barka, Al Batinah",1 day ago,
MADINAT QABOOS | MODERN 3 BR APARTMENT,https://www.dubizzle.com.om/en/ad/madinat-qaboos-modern-3-br-apartment-ID130263167.html,800.0,3.0,2.0,125.0,"Madinat As Sultan Qaboos, Muscat",1 day ago,
Luxury Apartment|Mouj Muscat |Freehold Ownership|Permanent Residency,https://www.dubizzle.com.om/en/ad/luxury-apartmentmouj-muscat-freehold-ownershippermanent-residency-ID130258418.html,125000.0,1.0,2.0,110.0,"The Wave (Almouj), Muscat",7 hours ago,
5 BR Spacious Villa in Azaiba Nearby Amenities,https://www.dubizzle.com.om/en/ad/5-br-spacious-villa-in-azaiba-nearby-amenities-ID130480123.html,197000.0,5.0,4.0,600.0,"Azaiba, Muscat",13 hours ago,Close to Sultan Center Land Area: 600 sqm Ground Floor: • Spacious master bedroom with attached bathroom • Two additional bedrooms • Common bathroom • Guestroom with attached bathroom and built-in wardrobe • Kitchen
Two Bedroom Seaview Apartment at Mandarin Oriental Muscat,https://www.dubizzle.com.om/en/ad/two-bedroom-seaview-apartment-at-mandarin-oriental-muscat-ID130287384.html,405000.0,2.0,3.0,131.0,"Qurum, Muscat",1 day ago,"Mandarin Oriental The Residences The Residences at Mandarin Oriental, Muscat The Residences at Mandarin Oriental, Muscat features exclusive private apartments in the capital ranging from 75 to 260 square metres in s"
