title,Price,bedrooms,bathrooms,Size,Location,Property_type
للبيع ارض سكني تجاري بركاء (خرائط بناء مخزن معتمده),28000.0,2,3,300.0,"Barka, Al Batinah",Other
2bhk luxury in wadi kabir free wifi(B2525),230.0,2,2,100.0,"Al Wadi Al Kabir, Muscat",Other
25Sqm Shop in almarat (B7820),80.0,2,3,30.0,"Al Amarat, Muscat",Commercial
لإيجار ارض المسفاه 400sqm land for rent in Al-Masfa,320.0,2,3,400.0,"Misfah, Muscat",Land
200sqm office in mabail free Wifi (B1772),400.0,2,3,200.0,"Al Maabilah, Muscat",Commercial
30 sqm Shop in mabila (B11356),100.0,2,3,30.0,"Al Maabilah, Muscat",Commercial
2bhk in mbd free fiber internet,180.0,2,2,95.0,"Ruwi, Muscat",Other
168 sqm commercial property in alkhoud (B572),420.0,2,3,168.0,"Al Khoud, Muscat",Commercial
158 SQM shop in mabil 3محل ارضي المعبيله,900.0,2,3,158.0,"Al Maabilah, Muscat",Commercial
للبيع بناية في دارسيت مؤجره بالكامل,185000.0,2,3,586.0,"Darsait, Muscat",Other
شقق راقية للبيع في ولاية العامرات (بناية الميرا),28000.0,2,2,95.0,"Al Amarat, Muscat",Other
للبيع ارض في المنى اول خط من الشارع الرئيسي جنب مسجد عبدالملك,115000.0,2,3,415.0,"Bosher, Muscat",Other
Beautiful 4+1 BR Villa Available for Rent in Azaiba,630.0,5,6,300.0,"Azaiba, Muscat",Villa
Buying a villa with 10% down payment for 4 bedrooms,277000.0,4,6,285.0,"Yiti, Muscat",Villa
Modern Apartment for Sale in Muscat | شقة حديثة للبيع في مسقط,127900.0,2,3,120.0,"Yiti, Muscat",Apartment
Amazing 1 BHK Apartment in Uptown |شقة غرفة وصالة في أب تاون ّFreeHold,59016.0,1,2,83.0,"Al Khoud, Muscat",Apartment
Exclusive 2 BHK Marina View | شقة راقية في يتي - Sustainable City Yiti,166570.0,2,3,121.0,"Yiti, Muscat",Other
1 BHK FreeHold Appartment uptow 15% down payment 44 Month Installment,72223.0,1,1,102.0,"Al Seeb, Muscat",Other
High-end villa for rent in Al-Azaiba,630.0,4,5,350.0,"Azaiba, Muscat",Villa
شقة دوبلكس جديدة كليًا في العذيبة – موقع مميز FSA83,58000.0,2,3,103.0,"Azaiba, Muscat",Other
FREE HOLD!! Own your Town House at Wadi Zaha in Sultan Haitham City,176000.0,3,5,220.0,"Sultan Haitham City, Muscat",Villa
Fully Furnished 2BHK Apartment For Sale in Lagoon – Al Mouj FSA56,137000.0,2,2,126.0,"The Wave (Almouj), Muscat",Apartment
Apartment for sale with 3 bedrooms- شقة للبيع بثلاث غرف,220000.0,3,4,164.0,"Yiti, Muscat",Apartment
Apartment for sale with 2-Bedrooms شقة للبيع بغرفتين,132000.0,2,3,122.0,"Yiti, Muscat",Apartment
Villa in Muscat for Sale فيلا للبيع في مسقط,468000.0,4,6,459.0,"Yiti, Muscat",Villa
Free Hold!! 95 sqm 1-Bedroom apartment for sale in Muscat Hills FSA45,63000.0,1,2,95.0,"Muscat Hills, Muscat",Apartment
FREE HOLD!! Own a Studio at Yenaier in Sultan Haitham City,46627.0,2,1,75.0,"Sultan Haitham City, Muscat",Studio
Amazing 2BHK Corner Flat For Sale in Muscat Hills FSA12,76000.0,2,3,118.0,"Muscat Hills, Muscat",Apartment
Free Hold!! Own Your Fully Managed Holiday Home in AIDA,260000.0,3,3,125.0,"Yiti, Muscat",Other
FREE HOLD!! Book your 2BHK apartment now in Wadi Zaha - SHC,70000.0,2,3,110.0,"Sultan Haitham City, Muscat",Apartment
AZAIBA | BEAUTIFUL 4+1 BR VILLA,630.0,4,5,300.0,"Azaiba, Muscat",Villa
"1BHK Apartment FOR SALE in The BLV Tower, Muscat Hills",63800.0,1,1,100.0,"Muscat Hills, Muscat",Apartment
Reduced Price!!! 2BHK Apartment with Pool View in Muscat Hills FSA43,70000.0,2,2,100.0,"Muscat Hills, Muscat",Apartment
"ADV901**A beautiful, Maintained Villa 4BHK+Maid for rent in Qurum in a",700.0,4,5,365.0,"Qurum, Muscat",Villa
ADW02***Well-Maintained 2BHK Fully Furnited Flat in The Wave – Sea Vie,700.0,2,3,110.0,"The Wave (Almouj), Muscat",Apartment
ADV936** 4bhk + Maid's villa for rent in Qurum,1200.0,4,5,420.0,"Qurum, Muscat",Villa
ADV937** 5bhk + Maid's villa for rent in Qurum,1600.0,5,6,450.0,"Qurum, Muscat",Villa
ADV904**3BHK+Maid Brand new villa in Madinat Illam,1050.0,3,4,350.0,"Qurum, Muscat",Villa
شقة للبيع في بناية شمس بوشر-Apartment for Sale (Shams Bousher Building,52000.0,2,2,112.0,"Bosher, Muscat",Apartment
"For Sale – One-Bedroom Apartment in Marsa Garden, Al Mouj Muscat",110000.0,1,1,95.0,"The Wave (Almouj), Muscat",Apartment
Furnished Office for Rent Seeb مكتب للإيجار مؤثث في سكوير الخوض السيب,140.0,2,3,100.0,"Al Seeb, Muscat",Commercial
Furnished Office for Rent Avenues Mall Ghoubra مكتب للإيجار في الغبرة,150.0,2,3,100.0,"Bosher, Muscat",Commercial
"تملك على البحر من 83,000 ريال (تملك حر) Own by the Beach",83000.0,1,1,70.0,"The Wave (Almouj), Muscat",Other
ADW05**Beautiful & Spacious fully Furnished 2+1BHK Apartment for Rent,1200.0,2,3,165.0,"The Wave (Almouj), Muscat",Apartment
RV05 - 4BHK GROUNDFLOOR VILLA FOR RENT IN AL KHOUD,400.0,4,4,600.0,"Al Khoud, Muscat",Villa
Brand New 2 BHK Apartments in Bausher – Book in Advance & Save!,325.0,2,2,120.0,"Bosher, Muscat",Apartment
Brand New Spacious 5 BHK Villa for Rent – Seeb,650.0,5,6,220.0,"Al Seeb, Muscat",Villa
Prime Brand new Warehouse for Rent in Khazaen Economic City,1800.0,2,3,600.0,"Muscat - Other, Muscat",Villa
Prime Open Land & Yard for Rent in Jifnain – Ideal for Logistics,3060.0,2,3,,"Muscat - Other, Muscat",Land
For Sale: Prime Land in Ghala,3000000.0,2,3,,"Ghala, Muscat",Land
Distress Sale Freehold 1 BHK with Residence Visa in Duqum for Just 22K,24000.0,1,2,40.0,"Al Duqum, Al Wusta",Other
Large retail space avaliable at Suqoon building in Azaiba,2316.0,2,3,386.0,"Azaiba, Muscat",Commercial
Taminat - Bausher - 2-bedroom apartment,425.0,2,3,140.0,"Bosher, Muscat",Apartment
"Prime Location for Your Business – Wafa Walk, Salalah",600.0,2,3,70.0,"Salalah, Dhofar",Other
توين فيلا للبيع في حي الكوثر الخوض,118000.0,6,7,300.0,"Al Khoud, Muscat",Other
3bhk flat for rent in MQ,475.0,3,3,150.0,"Madinat As Sultan Qaboos, Muscat",Apartment
